,nome_do_repositorio,linguagem
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,GCGC,Jupyter Notebook
36,homebrew-apple,Ruby
37,HomeKitADK,C
38,indexstore-db,C++
39,learning-compressible-subspaces,Python
40,learning-subspaces,Python
41,llvm-monorepo-root,
42,llvm-project,
43,llvm-project-v5,C++
44,llvm-project-v5-split,C++
45,MaterialX,
46,ml-afv,Python
47,ml-all-pairs,Python
48,ml-ane-transformers,Python
49,ml-aspanformer,Python
50,ml-autofocusformer,Python
51,ml-autofocusformer-segmentation,Python
52,ml-batchquant,Python
53,ml-capsules-inverted-attention-routing,Python
54,ml-cifar-10-faster,Python
55,ml-code-switched-speech-translation,Python
56,ml-collegial-ensembles,Python
57,ml-core,Python
58,ml-covid-mobility,R
59,ml-cread,Python
60,ml-cvnets,Python
61,ml-cvpr2019-swd,Python
62,ml-dab,Python
63,ml-data-parameters,Python
64,ml-destseg,Python
65,ml-dms-dataset,Python
66,ml-dprecs,Jupyter Notebook
67,ml-dr,Python
68,ml-duet,Python
69,ml-entropy-reconstruction,Python
70,ml-envmapnet,Python
71,ml-equivariant-neural-rendering,Jupyter Notebook
72,ml-facelit,Python
73,ml-fastvit,Python
74,ml-fct,Python
75,ml-finerecon,Python
76,ml-flair,Jupyter Notebook
77,ml-gaudi,
78,ml-gmpi,Python
79,ml-gsn,Python
80,ml-heart-rate-models,Python
81,ml-hierarchical-confusion-matrix,TypeScript
82,ml-hypersim,Python
83,ml-interspeech2022-phi_rtn,
84,ml-knowledge-conflicts,Python
85,ml-live-pose,
86,ml-mkqa,Python
87,ml-mobileone,Swift
88,ml-multiple-futures-prediction,Python
89,ml-ncg,Python
90,ml-neilf,Python
91,ml-neilfpp,Python
92,ml-neuman,Python
93,ml-no-token-left-behind,Jupyter Notebook
94,ml-pointconvformer,Python
95,ml-pointersect,Python
96,ml-probabilistic-attention,Python
97,ml-projunit,Python
98,ml-qrecc,Python
99,ml-quant,Python
100,ml-robust-expert-augmentations,Python
101,ml-sad,Python
102,ml-selfcond,Python
103,ml-shuffling-amplification,Python
104,ml-spatial-librispeech,
105,ml-spin,Python
106,ml-stable-diffusion,Python
107,ml-stuttering-events-dataset,Python
108,ml-symphony,Svelte
109,ml-tract,Python
110,ml-transcript-translation-consistency-ratings,
111,ml-translate-vis,TypeScript
112,ml-tree-dst,Python
113,ml-tune-mode-convbn,Python
114,ml-upscale,Jupyter Notebook
115,ml-uwac,Python
116,ml-vfi-smiff,Python
117,openjdk,Java
118,password-manager-resources,JavaScript
119,sample-backyard-birds,Swift
120,sample-cloudkit-coredatasync,Swift
121,sample-cloudkit-encryption,Swift
122,sample-cloudkit-privatedb,Swift
123,sample-cloudkit-privatedb-sync,Swift
124,sample-cloudkit-queries,Swift
125,sample-cloudkit-sharing,Swift
126,sample-cloudkit-sync-engine,Swift
127,sample-cloudkit-tooling,JavaScript
128,sample-cloudkit-zonesharing,Swift
129,sample-food-truck,Swift
130,servicetalk,Java
131,sourcekit-lsp,Swift
132,swift,C++
133,swift-3-api-guidelines-review,Swift
134,swift-algorithms,Swift
135,swift-argument-parser,Swift
136,swift-asn1,Swift
137,swift-async-algorithms,Swift
138,swift-atomics,Swift
139,swift-book,Markdown
140,swift-cassandra-client,Swift
141,swift-certificates,Swift
142,swift-clang,C++
143,swift-clang-tools-extra,C++
144,swift-cluster-membership,Swift
145,swift-cmake-examples,CMake
146,swift-cmark,C
147,swift-collections,Swift
148,swift-collections-benchmark,Swift
149,swift-community-hosted-continuous-integration,
150,swift-compiler-rt,C
151,swift-corelibs-foundation,Swift
152,swift-corelibs-libdispatch,C
153,swift-corelibs-xctest,Swift
154,swift-crypto,C
155,swift-distributed-actors,Swift
156,swift-distributed-tracing,Swift
157,swift-distributed-tracing-baggage-core,Swift
158,swift-distributed-tracing-extras,Swift
159,swift-docc,Swift
160,swift-docc-plugin,Swift
161,swift-docc-render,JavaScript
162,swift-docc-render-artifact,
163,swift-docc-symbolkit,Swift
164,swift-docker,Dockerfile
165,swift-driver,Swift
166,swift-evolution,Markdown
167,swift-evolution-staging,Swift
168,swift-experimental-string-processing,Swift
169,swift-format,Swift
170,swift-foundation,Swift
171,swift-foundation-icu,C
172,swift-getting-started-cli,Swift
173,swift-getting-started-package-library,Swift
174,swift-http-structured-headers,Swift
175,swift-http-types,Swift
176,swift-installer-scripts,CMake
177,swift-integration-tests,Python
178,swift-internals,HTML
179,swift-issues,
180,swift-libcxx,C++
181,swift-llbuild,C++
182,swift-llbuild2,Swift
183,swift-lldb,C++
184,swift-llvm,LLVM
185,swift-llvm-bindings,Swift
186,swift-lmdb,C
187,swift-log,Swift
188,swift-markdown,Swift
189,swift-metrics,Swift
190,swift-metrics-extras,Swift
191,swift-nio,Swift
192,swift-nio-examples,Swift
193,swift-nio-extras,Swift
194,swift-nio-http2,Swift
195,swift-nio-imap,Swift
196,swift-nio-nghttp2-support,Swift
197,swift-nio-ssh,Swift
198,swift-nio-ssl,C
199,swift-nio-ssl-support,Swift
200,swift-nio-transport-services,Swift
201,swift-nio-zlib-support,Swift
202,swift-numerics,Swift
203,swift-openapi-generator,Swift
204,swift-openapi-runtime,Swift
205,swift-openapi-urlsession,Swift
206,swift-org-website,SCSS
207,swift-package-collection-generator,Swift
208,swift-package-manager,Swift
209,swift-package-registry-compatibility-test-suite,Swift
