,nome_do_repositorio,linguagem
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel-tools,Java
18,beam,Java
19,big-data-rosetta-code,Scala
20,bigtable-autoscaler,Java
21,boilerplate-app,
22,bucket-runner,JavaScript
23,cartography,Python
24,cassandra-extra,Java
25,cassandra-medusa,Python
26,cassandra-opstools,Java
27,cassandra-reaper,
28,certcheck,Python
29,chartify,Python
30,code-of-conduct,
31,collectd,C
32,comet,Python
33,comet-common,Python
34,comet-core,Python
35,completable-futures,Java
36,condor,Java
37,confidence,Python
38,confidence-openfeature-provider-go,Go
39,confidence-openfeature-provider-js,TypeScript
40,confidence-openfeature-provider-kotlin,Kotlin
41,confidence-openfeature-provider-swift,Swift
42,container-agent,Python
43,cookiecutter-golang,Go
44,coordinator,HTML
45,crtauth,Python
46,crtauth-java,Java
47,crtauth-java-agent-signer-apache,Java
48,crunch-lib,Java
49,cstar,Python
50,daemon-java,Java
51,dataenum,Java
52,DataflowJavaSDK,Java
53,dataproc-java-submitter,Java
54,dataprocxy,Python
55,dbeam,Java
56,debify,Shell
57,dh-virtualenv,Python
58,diffuser,Swift
59,dns-java,Java
60,docgenerator,Java
61,docker-alpine,
62,docker-bigtable,Go
63,docker-cassandra,Shell
64,docker-client,Java
65,docker-gc,Shell
66,docker-kafka,Shell
67,docker-maven-plugin,Java
68,docker-stress,Python
69,dockerfile-maven,Java
70,dockerfile-mode,Emacs Lisp
71,docker_interface,Python
72,drserv,Python
73,druid,
74,duck,Ruby
75,echoprint-codegen,C++
76,echoprint-server,Java
77,elasticsearch-index-window,Java
78,elitzur,Scala
79,eslint-config-oss,JavaScript
80,etcd,Go
81,featran,Scala
82,ffwd,Java
83,ffwd-client-java,Java
84,ffwd-http-client,Java
85,ffwd-ruby,Ruby
86,flink,Java
87,flink-docker,
88,flink-on-k8s-operator,Go
89,flo,Java
90,flume-syslog-source2,Java
91,flyte-flink-plugin,Go
92,fmt-maven-plugin,Java
93,folsom,Java
94,foss-root,
95,futures-extra,Java
96,futuristic-feline,Java
97,gcp-audit,Python
98,gcp-firewall-enforcer,Python
99,gcs-tools,Scala
100,ghelog,Python
101,gimme,Python
102,git-test,Shell
103,github-java-client,Java
104,google-http-java-client,Java
105,gordon,Python
106,gordon-gcp,Python
107,gordon-introspection,Python
108,gordon-janitor,Python
109,gordon-janitor-gcp,Python
110,griffin,Python
111,hadoop-openpgp-codec,Java
112,hdfs2cass,Java
113,helios,Java
114,helios-go,Go
115,helios-skydns,Java
116,heroic,Java
117,heroic-client-go,Go
118,heroic-client-java,Java
119,homebrew-public,Ruby
120,hornet,Scala
121,HubFramework,Objective-C
122,hush-tab,JavaScript
123,hype,Java
124,hyperflo,Scala
125,ieee-spm-vocals-tutorial,Jupyter Notebook
126,ios-auth,Objective-C
127,ios-ci,Shell
128,ios-sdk,Objective-C
129,ios-style,
130,java-hamcrest,Java
131,java-lkk,Java
132,jenkins-coverage-poster,Groovy
133,jira-lkk-bridge,Java
134,JniHelpers,C++
135,jsconfeu-2013,JavaScript
136,kafka,Scala
137,kairosdb,Java
138,kernel-common,
139,klio,Python
140,lemur,Python
141,lighthouse-audit-service,TypeScript
142,limbo,Scala
143,lingon,JavaScript
144,linux,C
145,logging-java,Java
146,luigi,Python
147,lyceum,Clojure
148,mace,
149,magnolify,Scala
150,metrics-munin-reporter,Java
151,missinglink,Java
152,mlockexec,Python
153,mobius,Java
154,mobius-android-sample,Java
155,Mobius.swift,Swift
156,moob,Ruby
157,netty-batch-flusher,Java
158,netty-zmtp,Java
159,noether,Scala
160,okta-sdk-python,Python
161,openfeature-kotlin-sdk,Kotlin
162,openfeature-swift-sdk,Swift
163,pedalboard,C++
164,PeqBank,C
165,perf-map-agent,C
166,phpconf-argentina-2014,JavaScript
167,platform-external-bluetooth-bluez,
168,polly-jest-presets,TypeScript
169,postgresql-metrics,Python
170,proto-registry,TypeScript
171,proto-requests,TypeScript
172,protoman,Java
173,puppet-talos,Puppet
174,pyeos,Python
175,pyfg,Python
176,pyschema,Python
177,python-graphwalker,Python
178,pythonflow,Python
179,pywk,Python
180,quickstart,JavaScript
181,ratatool,Scala
182,react-native-lookback,Objective-C
183,reactochart,JavaScript
184,realbook,Python
185,redux-location-state,JavaScript
186,requests-crtauth,Python
187,robolectric,Java
188,rspec-dns,Ruby
189,rspec-dnsruby,Ruby
190,ruler,Kotlin
191,s3mper,Java
192,scanctl,Python
193,scio,Scala
194,scio-contrib,Scala
195,scio-idea-plugin,Scala
196,scio.g8,Scala
197,sekexe,Shell
198,semantic-metrics,Java
199,should-up,JavaScript
200,shumway,Python
201,simple-bigtable,Java
202,skydns,
203,skygc,Python
204,snakebite,Python
205,soa-reference-integration,TypeScript
206,spark-bigquery,Scala
207,sparkey,C
208,sparkey-java,Java
209,sparkey-python,Python
210,spawn,Java
211,spotify-checkstyle-config,
212,spotify-heroic-datasource,TypeScript
213,spotify-js-challenge,JavaScript
214,spotify-json,C++
215,spotify-tensorflow,Python
216,spotify-web-api-ts-sdk,TypeScript
217,spotify-web-playback-sdk-example,JavaScript
218,spotify.github.io,HTML
219,SpotifyLogin,Swift
220,sprunch,Scala
221,SPStackedNav,Objective-C
222,SPTDataLoader,Objective-C
223,SPTPersistentCache,Objective-C
224,spydra,Java
225,spymaster,Python
226,squashing-census-exporter,Kotlin
227,ssh-agent-proxy,Java
228,ssh-agent-tls,Java
229,styx,Java
230,super-smash-brogp,Python
231,swupdate,
232,syslog-redirector,Go
233,syslog-redirector-golang,Go
